,user_id,POI_id,latitude,longitude,UTC_time,trajectory_id,localtime,norm_in_day_time,POI_catid,POI_catid_code,POI_catname
16,445,4b9830a5f964a520c73235e3,-73.94950923509141,40.82678953781387,2012-04-03 18:10:39+00:00,445_0,2012-04-03 13:10:39,0.549063,4bf58dd8d48988d100951735,1,NoCat
32,445,4b3a8e5df964a520d86925e3,-73.95039081573486,40.82650767315227,2012-04-03 18:16:10+00:00,445_0,2012-04-03 13:16:10,0.552894,4bf58dd8d48988d100951735,1,NoCat
46,751,49b15042f964a520d4521fe3,-74.007306,40.727612,2012-04-03 18:24:51+00:00,751_0,2012-04-03 13:24:51,0.558924,4bf58dd8d48988d100951735,1,NoCat
69,458,4b298573f964a52050a024e3,-73.98732159326325,40.69541297284045,2012-04-03 18:42:32+00:00,458_0,2012-04-03 13:42:32,0.571204,4bf58dd8d48988d100951735,1,NoCat
71,445,4c1d0f98c09ed13ad4c5828e,-73.93786213355276,40.80463955350257,2012-04-03 18:44:07+00:00,445_0,2012-04-03 13:44:07,0.572303,4bf58dd8d48988d100951735,1,NoCat
80,1016,4e5dbf1e1f6e3022a71c242b,-74.01238511084367,40.91220464465255,2012-04-03 18:55:51+00:00,1016_0,2012-04-03 13:55:51,0.580451,4bf58dd8d48988d100951735,1,NoCat
83,1012,4c62bfd0e1621b8dfe232453,-73.83147239685059,40.75951304689015,2012-04-03 18:57:46+00:00,1012_0,2012-04-03 13:57:46,0.581782,4bf58dd8d48988d100951735,1,NoCat
116,445,4cd544d894848cfa6a0de5b1,-73.88307005845945,40.824777351716186,2012-04-03 19:20:46+00:00,445_0,2012-04-03 14:20:46,0.597755,4bf58dd8d48988d100951735,1,NoCat
118,784,4b422afbf964a5200bce25e3,-73.95202340155454,40.58532514916689,2012-04-03 19:21:00+00:00,784_0,2012-04-03 14:21:00,0.597917,4bf58dd8d48988d100951735,1,NoCat
123,623,4c81086adc018cfaa883c16c,-73.99048447608948,40.70242744248474,2012-04-03 19:25:03+00:00,623_0,2012-04-03 14:25:03,0.600729,4bf58dd8d48988d100951735,1,NoCat
128,615,40abf500f964a52035f31ee3,-73.99764060974121,40.73083612189599,2012-04-03 19:29:18+00:00,615_0,2012-04-03 14:29:18,0.603681,4bf58dd8d48988d100951735,1,NoCat
133,173,4f67c6d5e4b0e34eb630101a,-73.88307005845945,40.75568181015381,2012-04-03 19:30:41+00:00,173_0,2012-04-03 14:30:41,0.604641,4bf58dd8d48988d100951735,1,NoCat
134,292,4a3d4aecf964a52012a21fe3,-73.97652626037598,40.758505337427664,2012-04-03 19:33:21+00:00,292_0,2012-04-03 14:33:21,0.606493,4bf58dd8d48988d100951735,1,NoCat
136,16,4459d2f1f964a520d7321fe3,-74.17938709259033,40.68968493541091,2012-04-03 19:33:58+00:00,16_0,2012-04-03 14:33:58,0.606921,4bf58dd8d48988d100951735,1,NoCat
153,562,4ddfe92e8877e0877e661125,-73.87670483270945,40.89621269901943,2012-04-03 19:45:22+00:00,562_0,2012-04-03 14:45:22,0.614838,4bf58dd8d48988d100951735,1,NoCat
160,667,4e555a38b0fb1e5686bd6646,-74.20418389625108,40.80050589400566,2012-04-03 19:50:54+00:00,667_0,2012-04-03 14:50:54,0.618681,4bf58dd8d48988d100951735,1,NoCat
169,335,4b93d226f964a520625334e3,-73.92295351101858,40.664795945581965,2012-04-03 19:57:44+00:00,335_0,2012-04-03 14:57:44,0.623426,4bf58dd8d48988d100951735,1,NoCat
170,335,4df2f04dd4c01ff6b2eaca87,-73.91474954903893,40.66421141550086,2012-04-03 19:58:01+00:00,335_0,2012-04-03 14:58:01,0.623623,4bf58dd8d48988d100951735,1,NoCat
172,562,4b8fbf80f964a5202a6033e3,-73.873511,40.841927,2012-04-03 20:00:37+00:00,562_0,2012-04-03 15:00:37,0.625428,4bf58dd8d48988d100951735,1,NoCat
181,1012,4eda1085f5b921398839dd94,-73.81249842275241,40.73569746375886,2012-04-03 20:04:26+00:00,1012_0,2012-04-03 15:04:26,0.628079,4bf58dd8d48988d100951735,1,NoCat
186,184,4a06f10df964a5200c731fe3,-73.98104874535339,40.72098907275997,2012-04-03 20:05:56+00:00,184_0,2012-04-03 15:05:56,0.629120,4bf58dd8d48988d100951735,1,NoCat
185,184,4a06f10df964a5200c731fe3,-73.98104874535339,40.72098907275997,2012-04-03 20:05:56+00:00,184_0,2012-04-03 15:05:56,0.629120,4bf58dd8d48988d100951735,1,NoCat
189,562,4ec36fc4754a58e0f97f1766,-73.87893676757812,40.83991796598711,2012-04-03 20:07:48+00:00,562_0,2012-04-03 15:07:48,0.630417,4bf58dd8d48988d100951735,1,NoCat
217,246,4a34038ef964a520929b1fe3,-73.96677374839783,40.761471535292976,2012-04-03 20:26:32+00:00,246_0,2012-04-03 15:26:32,0.643426,4bf58dd8d48988d100951735,1,NoCat
219,458,4ba62142f964a520b43539e3,-73.99039194274509,40.695941850543576,2012-04-03 20:27:35+00:00,458_0,2012-04-03 15:27:35,0.644155,4bf58dd8d48988d100951735,1,NoCat
220,615,4e300d723151250387b61125,-73.98415714502335,40.72634864558351,2012-04-03 20:27:44+00:00,615_0,2012-04-03 15:27:44,0.644259,4bf58dd8d48988d100951735,1,NoCat
237,623,49e4a677f964a52014631fe3,-73.99068489671282,40.70234499714752,2012-04-03 20:43:37+00:00,623_0,2012-04-03 15:43:37,0.655289,4bf58dd8d48988d100951735,1,NoCat
